"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
5205,"REED",79.60,13.05,8.74,27.36%,,5.20%,-0.59%,1.29%,2.13,52.78,6.17,1.15%,24762
5206,"REET",,,,,,,,,,8.64,24.59,0.61%,20605
5207,"REFR",116.30,23.93,19.53,4.20%,,16.60%,0.08%,8.23%,38.89,41.35,4.98,2.47%,23180
5208,"REG",5207.26,92.36,90.58,1.20%,-0.36%,,-0.17%,5.05%,9.31,491.08,57.44,1.88%,363701
5209,"REGI",430.72,42.31,30.79,0.80%,10.44%,73.30%,8.95%,20.70%,16.25,392.20,10.46,2.75%,433936
5210,"REGN",37359.52,101.07,74.40,0.90%,-3.28%,75.00%,-0.23%,5.06%,4.85,775.69,366.13,-0.95%,1146342
5211,"REI",368.42,25.71,20.67,1.20%,31.00%,32.20%,0.07%,5.91%,10.56,115.70,14.29,-0.28%,272672
5212,"REIS",252.75,11.10,6.62,1.30%,-3.99%,45.30%,-15.92%,4.24%,12.76,21.98,22.94,0.75%,8065
5213,"REK",,,,,,,,,,26.34,22.10,-0.89%,5456
5214,"RELL",118.72,11.86,10.53,22.43%,,80.90%,-1.14%,0.22%,0.64,35.94,10.05,0.40%,27120
5215,"RELV",15.10,12.69,7.99,36.99%,0.04%,7.20%,-0.65%,0.15%,0.34,36.86,1.21,1.69%,7701
5216,"REM",,,,,,,,,,945.50,12.22,0.87%,770774
5217,"REMX",,,,,,,,,,13.86,28.19,-1.12%,21603
5218,"REMY",591.82,31.99,30.40,0.80%,-12.33%,30.80%,0.05%,1.74%,10.09,52.51,18.41,-0.49%,59552
5219,"REN",292.09,77.89,71.07,0.30%,4.01%,98.20%,-0.06%,12.91%,11.98,765.80,3.65,-2.67%,1015986
5220,"RENN",837.71,263.43,134.51,7.91%,,3.50%,-0.01%,3.33%,5.33,840.03,3.29,3.46%,828784
5221,"RENT",909.83,12.30,10.25,8.00%,105.86%,66.20%,0.06%,12.27%,8.65,145.45,73.12,-1.15%,153307
5222,"REPH",23.31,7.72,7.56,0.10%,107.53%,82.00%,16.85%,0.68%,0.93,55.32,3.01,-0.33%,12838
5223,"RES",3580.06,218.83,60.85,71.59%,,22.10%,-0.04%,7.42%,4.68,965.33,16.64,1.71%,1253760
5224,"RESI",1396.42,57.16,54.82,28.72%,0.03%,14.90%,0.55%,8.29%,9.10,499.32,24.59,0.65%,242660
5225,"RESN",41.81,6.90,5.85,33.50%,36.09%,7.40%,,3.94%,8.50,27.15,6.39,5.45%,14823
5226,"RETL",,,,,,,,,,4.22,70.08,4.52%,3174
5227,"REV",1682.33,52.36,10.71,0.90%,226.71%,16.80%,0.41%,3.64%,9.67,40.36,32.38,0.78%,43412
5228,"REW",,,,,,,,,,5.50,17.26,-0.40%,55968
5229,"REX",518.04,8.18,6.90,14.10%,-37.43%,68.20%,0.38%,13.65%,3.57,263.95,66.31,4.71%,203798
5230,"REXI",189.87,20.35,15.29,11.90%,6.70%,50.50%,0.38%,4.06%,14.85,41.78,9.39,0.64%,18759
5231,"REXR",615.62,42.90,41.70,0.50%,26.55%,51.20%,20.12%,4.39%,3.87,474.07,14.30,-0.35%,174354
5232,"REXX",479.41,54.11,48.49,8.50%,4.17%,94.30%,0.68%,16.36%,5.81,1365.90,8.52,-3.84%,1929837
5233,"REZ",,,,,,,,,,22.20,54.93,1.50%,66820
5234,"RF",12544.44,1378.51,1373.53,0.20%,-6.42%,73.70%,-0.34%,0.74%,0.70,14546.87,9.16,0.66%,22119310
5235,"RFG",,,,,,,,,,29.18,116.03,0.59%,30799
5236,"RFI",,,,,,,,,0.06,94.18,12.29,0.74%,126813
5237,"RFIL",38.69,8.25,6.93,0.40%,-40.53%,26.50%,-0.23%,2.71%,8.31,22.64,4.95,5.54%,34019
5238,"RFMD",2942.35,287.62,284.93,1.40%,-15.79%,93.00%,5.69%,21.45%,4.91,12456.18,10.44,2.05%,8335995
5239,"RFP",1600.46,94.59,94.49,12.90%,-4.07%,97.90%,-0.09%,3.13%,14.51,204.09,17.52,3.55%,241575
5240,"RFV",,,,,,,,,,17.25,49.76,0.85%,11860
5241,"RGA",5210.56,68.56,68.16,0.50%,4.58%,93.50%,0.08%,0.89%,1.49,407.28,77.25,1.64%,717005
5242,"RGC",3096.85,156.17,129.90,0.10%,-13.80%,64.40%,0.27%,13.19%,17.45,982.01,19.85,0.10%,956518
5243,"RGCO",94.35,4.72,4.11,4.40%,0.97%,14.50%,1.18%,0.02%,0.25,3.71,19.76,-1.15%,348
5244,"RGDO",37.60,33.57,20.33,,,50.80%,-1.51%,8.73%,2.30,770.88,1.15,2.68%,195770
5245,"RGDX",20.96,38.82,31.56,24.85%,,44.00%,-4.03%,0.40%,1.36,93.31,0.54,0.19%,76625
5246,"RGEN",734.63,32.65,30.68,3.00%,5.83%,87.40%,0.82%,15.21%,11.98,389.43,22.75,1.11%,241114
5247,"RGI",,,,,,,,,,13.43,81.94,-0.11%,39161
5248,"RGLD",4302.74,64.81,63.44,0.80%,9.97%,70.60%,0.19%,4.30%,3.98,685.43,68.04,2.49%,522932
5249,"RGLS",287.68,43.39,11.35,0.20%,-70.86%,33.10%,-0.02%,11.86%,20.78,64.77,6.82,2.87%,69689
5250,"RGP",12507.22,403.98,308.99,6.60%,,59.50%,0.19%,1.50%,5.13,904.43,31.24,0.90%,814770
5251,"RGR",945.37,19.42,19.17,0.60%,18.27%,77.90%,-1.41%,29.98%,14.87,386.43,51.75,6.31%,511997
5252,"RGS",854.23,55.65,55.21,0.90%,,,-0.25%,7.23%,9.37,426.06,15.44,0.59%,428938
5253,"RGSE",64.90,51.92,50.79,,,32.90%,-0.19%,10.67%,7.96,680.24,1.19,-4.80%,176064
5254,"RH",2944.33,39.50,35.91,7.80%,-8.41%,16.70%,91.79%,28.39%,9.39,1084.93,75.73,1.60%,1034127
5255,"RHI",6452.83,137.09,131.64,2.10%,-10.70%,90.70%,0.16%,2.91%,4.62,827.68,46.85,-0.47%,1368253
5256,"RHP",2310.70,51.02,49.49,2.00%,0.79%,,0.10%,22.32%,19.45,567.96,46.20,2.01%,257596
5257,"RHS",,,,,,,,,,19.28,97.07,1.46%,23482
5258,"RHT",10459.70,187.82,186.55,0.60%,13.15%,95.80%,-0.04%,2.68%,3.07,1624.87,56.34,1.17%,1339828
