"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
963,"CBSH","Commerce Bancshares, Inc.","Financial","Regional - Midwest Banks","USA",3784.73,14.86,41.65,0.85%,878501
964,"CBSO","CBS Outdoor Americas Inc.","Financial","Property Management","USA",3490.80,29.09,28.98,-0.38%,1481852
965,"CBST","Cubist Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",4694.50,3099.50,63.97,3.20%,991559
966,"CBT","Cabot Corporation","Basic Materials","Specialty Chemicals","USA",2821.50,13.32,44.62,2.13%,1024076
967,"CBU","Community Bank System Inc.","Financial","Regional - Midwest Banks","USA",1382.65,16.74,34.80,2.41%,132827
968,"CBZ","CBIZ, Inc.","Services","Business Services","USA",422.93,17.14,8.58,0.12%,354520
969,"CCA","MFS California Insured Municipal Fund","Financial","Closed-End Fund - Debt","USA",,,10.86,0.46%,9243
970,"CCBG","Capital City Bank Group Inc.","Financial","Regional - Mid-Atlantic Banks","USA",262.97,27.40,15.01,-0.40%,17088
971,"CCC","Calgon Carbon Corporation","Industrial Goods","Pollution & Treatment Controls","USA",1019.50,21.77,18.98,-0.94%,392882
972,"CCCL","China Ceramics Co., Ltd.","Industrial Goods","General Building Materials","China",15.08,,0.74,-0.68%,52345
973,"CCCR","China Commercial Credit, Inc.","Financial","Foreign Regional Banks","China",,,,,0
974,"CCE","Coca-Cola Enterprises Inc.","Consumer Goods","Beverages - Soft Drinks","USA",9824.05,14.24,40.01,0.00%,4672571
975,"CCF","Chase Corporation","Industrial Goods","Industrial Equipment & Components","USA",310.69,12.42,33.55,-1.41%,12165
976,"CCG","Campus Crest Communities, Inc.","Financial","REIT - Diversified","USA",413.03,,6.51,2.20%,885011
977,"CCI","Crown Castle International Corp.","Technology","Diversified Communication Services","USA",26555.22,203.95,79.25,-0.36%,2414676
978,"CCIH","ChinaCache International Holdings Ltd.","Technology","Internet Information Providers","China",314.97,,12.65,1.85%,70008
979,"CCJ","Cameco Corporation","Basic Materials","Industrial Metals & Minerals","Canada",6342.81,17.36,15.93,-0.25%,2987490
980,"CCK","Crown Holdings Inc.","Consumer Goods","Packaging & Containers","USA",6090.33,21.71,44.87,2.33%,1788950
981,"CCL","Carnival Corporation","Services","Resorts & Casinos","USA",26737.60,19.12,34.69,0.81%,9456616
982,"CCM","Concord Medical Services Holdings Limited","Healthcare","Hospitals","China",118.69,19.86,7.04,-1.54%,18210
